title,election,year,type,status,percent,topics,topics2,topics3,topics4,topics5,topics6
"
 Community Parklands Act Of 1986",Primary,1986,Legislative Referendum,Pass (Yes votes: 67.3%),67.30%,Arts & Culture,Bond Measures,Natural Resources,,,
"
 Property Tax: Purchase/Change in Ownership: Parent Child Transfer. Legislative Constitutional Amendment.",Primary,1996,Legislative Referendum,Pass (Yes votes: 67.3%),67.30%,Tax & Revenue,,,,,
"
 County Correctional Facility Capital Expenditure Bond Act Of 1986",Primary,1986,Legislative Referendum,Pass (Yes votes: 67.2%),67.20%,Bond Measures,Criminal Justice,,,,
"
 Initiatives",General,1948,Legislative Referendum,Pass (Yes votes: 67.2%),67.20%,Elections-Initiative Process,,,,,
"
 Veterans Bond Act Of 1982",General,1982,Legislative Referendum,Pass (Yes votes: 67.1%),67.10%,Bond Measures,Military & Veterans Affairs,,,,
"
 Constitution Revision",General,1962,Legislative Referendum,Pass (Yes votes: 67.0%),67.00%,Civil & Constitutional Law,Legislatures,,,,
"
 Insurance Company Home Office Tax Deductin",Primary,1976,Legislative Referendum,Pass (Yes votes: 67.0%),67.00%,Insurance,Tax & Revenue,,,,
"
 Public Water Supplies: Mutual Water Companies",General,1956,Legislative Referendum,Pass (Yes votes: 67.0%),67.00%,Local Government,Natural Resources,,,,
"
 Veterans' Bond Act of 2000",General,2000,Legislative Referendum,Pass (Yes votes: 67%),67%,Bond Measures,Military & Veterans Affairs,,,,
"
 Repealing Alien Land Law",General,1956,Legislative Referendum,Pass (Yes votes: 66.8%),66.80%,Civil & Constitutional Law,Land Use/Property Rights,,,,
"
 Free School Textbooks",General,1912,Legislative Referendum,Pass (Yes votes: 66.7%),66.70%,Education: PreK-12,,,,,
"
 Senior Center Bond Act of 1984",General,1984,Legislative Referendum,Pass (Yes votes: 66.7%),66.70%,Bond Measures,Human Services,,,,
"
 Chiropractors3",General,1948,Legislative Referendum,Pass (Yes votes: 66.6%),66.60%,Health,,,,,
"
 Ends Taxation of Certain Food Products. Initiative Constitutional Amendment and Statute.",General,1992,Initiative,Pass (Yes votes: 66.6%),66.60%,Tax & Revenue,,,,,
"
 Constitutional Provisions Relating to Local Government",Special,1949,Legislative Referendum,Pass (Yes votes: 66.5%),66.50%,Local Government,,,,,
"
 District Courts of Appeal: Appellate Jurisdiction",General,1960,Legislative Referendum,Pass (Yes votes: 66.5%),66.50%,Judiciary,,,,,
"
 Municipalities",General,1922,Legislative Referendum,Pass (Yes votes: 66.4%),66.40%,Local Government,,,,,
"
 San Diego County Judicial Districts",General,1974,Legislative Referendum,Pass (Yes votes: 66.4%),66.40%,Judiciary,,,,,
"
 State Indebtedness2",General,1962,Legislative Referendum,Pass (Yes votes: 66.4%),66.40%,Budgets,State Government,,,,
"
 Suspension of Prohibition Amendment",General,1914,Initiative,Pass (Yes votes: 66.4%),66.40%,Business & Commerce,Drug/Alcohol/Tobacco Policy,,,,
"
 Television Programs",General,1964,Initiative,Pass (Yes votes: 66.4%),66.40%,Telecom & Info Technology,,,,,
"
 Alcoholic Beverage Control",General,1954,Legislative Referendum,Pass (Yes votes: 66.3%),66.30%,Business & Commerce,Drug/Alcohol/Tobacco Policy,,,,
"
 Motor Vehicle Taxation and Revenue",General,1938,Legislative Referendum,Pass (Yes votes: 66.3%),66.30%,Budgets,Transportation,,,,
"
 Veterans Bond Act of 1984",General,1984,Legislative Referendum,Pass (Yes votes: 66.3%),66.30%,Bond Measures,Military & Veterans Affairs,,,,
"
 Bonds to Provide State College, Junior College and University Facilities",General,1962,Legislative Referendum,Pass (Yes votes: 66.2%),66.20%,Bond Measures,Education: Higher Ed,,,,
"
 Inferior Courts",General,1924,Legislative Referendum,Pass (Yes votes: 66.1%),66.10%,Judiciary,,,,,
"
 Veterans' Tax Exemption2",General,1960,Legislative Referendum,Pass (Yes votes: 66.1%),66.10%,Military & Veterans Affairs,Tax & Revenue,,,,
"
 Miscellaneous Constitutional Revisions2",General,1972,Legislative Referendum,Pass (Yes votes: 66.0%),66.00%,Civil & Constitutional Law,,,,,
"
 State Constitutional Offices. Filling Vacancies In. Confirmation.",General,1976,Legislative Referendum,Pass (Yes votes: 66.0%),66.00%,Elections,State Government,,,,
"
 Community Redevelopment Projects",General,1952,Legislative Referendum,Pass (Yes votes: 65.9%),65.90%,Economic Development,,,,,
"
 Exposition Contribution by Alameda County",General,1914,Legislative Referendum,Pass (Yes votes: 65.9%),65.90%,Local Government,,,,,
"
 Property Taxation: Relief in Event of Disaster1",General,1964,Legislative Referendum,Pass (Yes votes: 65.9%),65.90%,Human Services,Tax & Revenue,,,,
"
 Annual Sessions of the Legislature",General,1946,Legislative Referendum,Pass (Yes votes: 65.8%),65.80%,Legislatures,,,,,
"
 Deposit Of Public Moneys In Credit Union.",Primary,1986,Legislative Referendum,Pass (Yes votes: 65.8%),65.80%,Banking & Financial Services,Tax & Revenue,,,,
"
 Partial Constitutional Revision",Primary,1972,Legislative Referendum,Pass (Yes votes: 65.8%),65.80%,Civil & Constitutional Law,,,,,
"
 Taxation on Street Railways",General,1930,Legislative Referendum,Pass (Yes votes: 65.6%),65.60%,Tax & Revenue,Transportation,,,,
"
 Taxation. Real Property Valuation. Solar Energy Systems",General,1980,Legislative Referendum,Pass (Yes votes: 65.5%),65.50%,Energy & Electric Utilities,Tax & Revenue,,,,
"
 The Veterans Bond Act of 1971",Primary,1972,Legislative Referendum,Pass (Yes votes: 65.5%),65.50%,Bond Measures,Military & Veterans Affairs,,,,
"
 Veterans Bond Act of 1980",Primary,1980,Legislative Referendum,Pass (Yes votes: 65.5%),65.50%,Bond Measures,Military & Veterans Affairs,,,,
"
 Irrigation Districts Controlling International Water Systems",General,1914,Legislative Referendum,Pass (Yes votes: 65.4%),65.40%,Natural Resources,State Government,,,,
"
 Public School Funds",General,1952,Initiative,Pass (Yes votes: 65.4%),65.40%,Budgets,Education: PreK-12,,,,
"
 Sales and Rentals of Residential Real Property",General,1964,Initiative,Pass (Yes votes: 65.4%),65.40%,Business & Commerce,Civil & Constitutional Law,,,,
"
 Waiving Jury Trial in Criminal Cases",General,1928,Legislative Referendum,Pass (Yes votes: 65.4%),65.40%,Criminal Justice,,,,,
"
 New Prison Construction Bond Act Of 1986",General,1986,Legislative Referendum,Pass (Yes votes: 65.3%),65.30%,Bond Measures,Criminal Justice,,,,
"
 School System",General,1920,Initiative,Pass (Yes votes: 65.3%),65.30%,Budgets,Education: PreK-12,Tax & Revenue,,,
"
 Judges.",General,1988,Legislative Referendum,Pass (Yes votes: 65.1%),65.10%,Judiciary,,,,,
"
 Wildlife, Coastal, And Park Land Conservation Bond Act.",Primary,1988,Initiative,Pass (Yes votes: 65.1%),65.10%,Animal Rights/Hunting & Fishing,Bond Measures,Environmental Protection,Natural Resources,,
"
 School Facilities Bond Act Of 1988",Primary,1988,Legislative Referendum,Pass (Yes votes: 65.0%),65.00%,Bond Measures,Education: PreK-12,,,,
"
 School Districts1",General,1922,Legislative Referendum,Pass (Yes votes: 64.9%),64.90%,Education: PreK-12,Local Government,,,,
"
 Taxation and Local Assessment Exemption",General,1926,Legislative Referendum,Pass (Yes votes: 64.9%),64.90%,Local Government,Tax & Revenue,,,,
"
 Veterans Farm and Home Bonds",Primary,1960,Legislative Referendum,Pass (Yes votes: 64.9%),64.90%,Agriculture,Bond Measures,Military & Veterans Affairs,,,
"
 Deposit of Public Moneys2",General,1924,Legislative Referendum,Pass (Yes votes: 64.8%),64.80%,Banking & Financial Services,State Government,,,,
"
 Property Tax Limitation",Primary,1978,Initiative,Pass (Yes votes: 64.8%),64.80%,Tax & Revenue,,,,,
"
 Safe Drinking Water, Clean Water, Watershed Protection, and Flood Protection Bond Act. ",Primary,2000,Legislative Referendum,Pass (Yes votes: 64.8%),64.80%,Bond Measures,Environmental Protection,Natural Resources,,,
"
 Judicial Council1",General,1926,Legislative Referendum,Pass (Yes votes: 64.7%),64.70%,Judiciary,,,,,
"
 Loan Interest Rates",Special,1979,Legislative Referendum,Pass (Yes votes: 64.6%),64.60%,Banking & Financial Services,,,,,
"
 Courts: Superior and Municipal Court Consolidation. Legislative Constitutional Amendment.",Primary,1998,Legislative Referendum,Pass (Yes votes: 64.5%),64.50%,Judiciary,,,,,
"
 Gambling on Tribal Lands. Legislative Constitutional Amendment.",Primary,2000,Legislative Referendum,Pass (Yes votes: 64.5%),64.50%,Gambling & Lotteries,State-Tribal Relations,,,,
"
 Superior Court Judges: Election in Counties Over 5 Million Population",General,1962,Legislative Referendum,Pass (Yes votes: 64.5%),64.50%,Elections,Judiciary,,,,
"
 California Safe Drinking Water Bond Law of 1976.",General,1980,Legislative Referendum,Pass (Yes votes: 64.4%),64.40%,Bond Measures,Environmental Protection,Natural Resources,,,
"
 Clean Water And Water Reclamation Bond Act Of 1988",General,1988,Legislative Referendum,Pass (Yes votes: 64.4%),64.40%,Bond Measures,Environmental Protection,,,,
"
 Gift and Inheritance Taxes",Primary,1982,Initiative,Pass (Yes votes: 64.4%),64.40%,Tax & Revenue,,,,,
"
 Disaster Preparedness and Flood Prevention Bond Act of 2006",General,2006,Legislative Referendum,Pass (Yes votes: 64.3%),64.30%,Bond Measures,Natural Resources,,,,
"
 Ineligibility to Office",General,1916,Initiative,Pass (Yes votes: 64.3%),64.30%,Legislatures,,,,,
"
 Municipal Charter Amendments",General,1930,Legislative Referendum,Pass (Yes votes: 64.2%),64.20%,Local Government,,,,,
"
 State Liquor Regulation",General,1932,Initiative,Pass (Yes votes: 64.2%),64.20%,Business & Commerce,Drug/Alcohol/Tobacco Policy,,,,
"
 Suffrage1",General,1926,Legislative Referendum,Pass (Yes votes: 64.1%),64.10%,Civil & Constitutional Law,Elections,,,,
"
 Election Returns for Governor and Lieutenant Governor",General,1940,Legislative Referendum,Pass (Yes votes: 64.0%),64.00%,Elections,,,,,
"
 Fish And Wildlife Habitat Enhancement Act Of 1984",Primary,1984,Legislative Referendum,Pass (Yes votes: 64.0%),64.00%,Bond Measures,Natural Resources,,,,
"
 Funds for Elementary Schools",General,1944,Initiative,Pass (Yes votes: 64%),64%,Budgets,Education: PreK-12,,,,
"
 Release of Encumbrances Given for Security for Old Age Aid",General,1940,Legislative Referendum,Pass (Yes votes: 64.0%),64.00%,Human Services,State Government,,,,
"
 Commission on Judicial Performance. Legislative Constitutional Amendment.",General,1994,Legislative Referendum,Pass (Yes votes: 63.9%),63.90%,Judiciary,State Government,,,,
"
 General Obligation Bonds",General,1962,Legislative Referendum,Pass (Yes votes: 63.9%),63.90%,Bond Measures,Budgets,,,,
"
 Intoxicating Liquors",General,1934,Initiative,Pass (Yes votes: 63.9%),63.90%,Business & Commerce,Drug/Alcohol/Tobacco Policy,,,,
"
 Municipal Courts2",General,1924,Legislative Referendum,Pass (Yes votes: 63.9%),63.90%,Human Services,Tax & Revenue,,,,
"
 Poison Act",General,1920,Popular Referendum,Pass (Yes votes: 63.9%),63.90%,Health,,,,,
"
 State Construction Program Bonds1",General,1958,Legislative Referendum,Pass (Yes votes: 63.7%),63.70%,Bond Measures,State Government,,,,
"
 Congressional Term Limits. Initiative Statute.",General,1992,Initiative,Pass (Yes votes: 63.6%),63.60%,Federal Government,Term Limits,,,,
"
 Fish and Game Commission2",General,1940,Legislative Referendum,Pass (Yes votes: 63.6%),63.60%,Animal Rights/Hunting & Fishing,Natural Resources,State Government,,,
"
 Veterans' Bond Act of 2008",General,2008,Legislative Referendum,Pass (Yes votes: 63.6%),63.60%,Bond Measures,Military & Veterans Affairs,,,,
"
 Income Tax Indexing.",Primary,1982,Initiative,Pass (Yes votes: 63.5%),63.50%,Tax & Revenue,,,,,
"
 Standards for Confining Farm Animals. Initiative Statute.",General,2008,Initiative,Pass (Yes votes: 63.5%),63.50%,Agriculture,Animal Rights/Hunting & Fishing,,,,
"
 Application of Existing 1 Percent Tax on Incomes over One Million Dollars to Homelessness Prevention Bonds",General,2018,Legislative Referendum,Pass (Yes votes: 63.4%),63.40%,Bond Measures,Human Services,Tax & Revenue,,,
"
 The Economic Recovery Bond Act",Primary,2004,Legislative Referendum,Pass (Yes votes: 63.4%),63.40%,Bond Measures,Budgets,,,,
"
 State Civil Service3",General,1950,Legislative Referendum,Pass (Yes votes: 63.3%),63.30%,Labor & Employment,State Government,,,,
"
 University of California Building Bond Act",General,1914,Initiative,Pass (Yes votes: 63.3%),63.30%,Bond Measures,Education: Higher Ed,,,,
"
 California Park And Recreational Facilities Act Of 1984",Primary,1984,Legislative Referendum,Pass (Yes votes: 63.2%),63.20%,Arts & Culture,Bond Measures,Natural Resources,,,
"
 Safe Neighborhood Parks, Clean Water, Clean Air, and Coastal Protection Bond Act of 2000. (The Villaraigosa-Keeley Act) ",Primary,2000,Legislative Referendum,Pass (Yes votes: 63.2%),63.20%,Arts & Culture,Bond Measures,Environmental Protection,Natural Resources,,
"
 Assignment of Students to Schools",General,1972,Initiative,Pass (Yes votes: 63.1%),63.10%,Civil & Constitutional Law,Education: PreK-12,,,,
"
 Horse Racing",Special,1933,Legislative Referendum,Pass (Yes votes: 62.9%),62.90%,Animal Rights/Hunting & Fishing,Gambling & Lotteries,,,,
"
 Right of Privacy",General,1972,Legislative Referendum,Pass (Yes votes: 62.9%),62.90%,Civil & Constitutional Law,,,,,
"
 Safe, Clean, Reliable Water Supply Act.",General,1996,Legislative Referendum,Pass (Yes votes: 62.9%),62.90%,Bond Measures,Natural Resources,,,,
"
 University of California. Competitive Bidding. Grounds for Denial of Admission1",General,1918,Legislative Referendum,Pass (Yes votes: 62.8%),62.80%,Civil & Constitutional Law,Education: Higher Ed,State Government,,,
"
 Bonds for Children's Hospitals Initiative",General,2018,Initiative,Pass (Yes votes: 62.7%),62.70%,Bond Measures,Health,,,,
"
 Deposit of Public Moneys4",General,1932,Legislative Referendum,Pass (Yes votes: 62.7%),62.70%,Banking & Financial Services,Tax & Revenue,,,,
"
 Expand Required Number of Square Feet for Farm Animal Production Initiative",General,2018,Initiative,Pass (Yes votes: 62.7%),62.70%,Agriculture,Animal Rights/Hunting & Fishing,Business & Commerce,,,
"
 California Safe Drinking Water Bond Law of 1976",Primary,1976,Legislative Referendum,Pass (Yes votes: 62.6%),62.60%,Bond Measures,Environmental Protection,Natural Resources,,,
"
 Proceedings for Public Improvements or Acquisition of Property for Public Use",General,1940,Legislative Referendum,Pass (Yes votes: 62.6%),62.60%,Natural Resources,State Government,,,,
"
 Restrictions On Toxic Discharges Into Drinking Water; Requirement Of Notice Of Persons' Exposure To Toxics. Initiative Statute",General,1986,Initiative,Pass (Yes votes: 62.6%),62.60%,Business & Commerce,Environmental Protection,,,,
"
 Class Size Reduction. Kindergarten-University. Public Education Bond Act",General,1998,Legislative Referendum,Pass (Yes votes: 62.5%),62.50%,Bond Measures,Education: Higher Ed,Education: PreK-12,,,
"
 Eminent Domain1",General,1924,Legislative Referendum,Pass (Yes votes: 62.5%),62.50%,Land Use/Property Rights,,,,,
"
 State Officials, Ethics, Salaries. Open Meetings. Legislative Constitutional Amendment",Primary,1990,Legislative Referendum,Pass (Yes votes: 62.5%),62.50%,Ethics/Lobbying/Campaign Finance,Labor & Employment,Legislatures,State Government,,
"
 Veterans Bond Act of 1976",Primary,1976,Legislative Referendum,Pass (Yes votes: 62.5%),62.50%,Bond Measures,Human Services,,,,
"
 Communicable Disease Tests.",General,1988,Initiative,Pass (Yes votes: 62.4%),62.40%,Criminal Justice,Juvenile Justice,,,,
"
 The State Beach, Park, Recreational, and Historical Facilities Bond Act of 1964",General,1964,Legislative Referendum,Pass (Yes votes: 62.4%),62.40%,Arts & Culture,Bond Measures,Natural Resources,,,
"
 Tribal-State Gaming Compacts. Tribal Casinos. Initiative Statute.",General,1998,Initiative,Pass (Yes votes: 62.4%),62.40%,Gambling & Lotteries,State-Tribal Relations,,,,
"
 Water Conservation Bond Law Of 1988",General,1988,Legislative Referendum,Pass (Yes votes: 62.4%),62.40%,Bond Measures,Natural Resources,,,,
"
 Legislative Employees",General,1956,Legislative Referendum,Pass (Yes votes: 62.3%),62.30%,Labor & Employment,Legislatures,,,,
"
 Veterans Bond Act of 1978",General,1978,Legislative Referendum,Pass (Yes votes: 62.3%),62.30%,Bond Measures,Human Services,Military & Veterans Affairs,Tax & Revenue,,
"
 Veterans Homes Bond Act of 2000.",Primary,2000,Legislative Referendum,Pass (Yes votes: 62.3%),62.30%,Bond Measures,Military & Veterans Affairs,,,,
"
 Fishing Control",General,1938,Initiative,Pass (Yes votes: 62.2%),62.20%,Animal Rights/Hunting & Fishing,Business & Commerce,Natural Resources,,,
"
 Assessment of Golf Courses",General,1960,Legislative Referendum,Pass (Yes votes: 62.1%),62.10%,Business & Commerce,Tax & Revenue,,,,
"
 DNA Samples. Collection. Database. Funding. Initiative Statute.",General,2004,Initiative,Pass (Yes votes: 62.1%),62.10%,Civil & Constitutional Law,Criminal Justice,,,,
"
 Juvenile Crime. Initiative Statute.",Primary,2000,Initiative,Pass (Yes votes: 62.1%),62.10%,Criminal Justice,Juvenile Justice,,,,
"
 Multiple Defendants Tort Damage Liability.",Primary,1986,Initiative,Pass (Yes votes: 62.1%),62.10%,Civil & Constitutional Law,Judiciary,,,,
"
 Releasing Obligations, Encumbrances and Agreements Taken as Security for State Aid to Aged Persons",General,1940,Legislative Referendum,Pass (Yes votes: 62.1%),62.10%,Human Services,State Government,,,,
"
 Eminent Domain. Acquisition of Owner-Occupied Residence. Constitutional Amendment.",Primary,2008,Initiative,Pass (Yes votes: 62.0%),62.00%,Land Use/Property Rights,,,,,
"
 Public Education Facilities Bond Act of 1996.",Primary,1996,Legislative Referendum,Pass (Yes votes: 62.0%),62.00%,Bond Measures,Education: PreK-12,,,,
"
 Taxation2",Special,1933,Legislative Referendum,Pass (Yes votes: 62.0%),62.00%,Banking & Financial Services,Insurance,Tax & Revenue,,,
"
 Constitutional Provisions Relating to Judiciary",General,1956,Legislative Referendum,Pass (Yes votes: 61.8%),61.80%,Judiciary,,,,,
"
 Gift and Inheritance Taxes.",Primary,1982,Initiative,Pass (Yes votes: 61.8%),61.80%,Tax & Revenue,,,,,
"
 Initiative and Referendum1",General,1932,Legislative Referendum,Pass (Yes votes: 61.8%),61.80%,Elections-Initiative Process,,,,,
"
 The Veterans Bond Act of 1968",Primary,1968,Legislative Referendum,Pass (Yes votes: 61.8%),61.80%,Bond Measures,Military & Veterans Affairs,,,,
"
 Earthquake Safety. Property Tax Exclusion. Legislative Constitutional Amendment",General,1990,Legislative Referendum,Pass (Yes votes: 61.7%),61.70%,Tax & Revenue,,,,,
"
 Sacramento County-Cities Consolidation",Primary,1974,Legislative Referendum,Pass (Yes votes: 61.6%),61.60%,Local Government,,,,,
"
 Highway Safety, Traffic Reduction, Air Quality, Port Security Bond Act of 2006",General,2006,Legislative Referendum,Pass (Yes votes: 61.5%),61.50%,Bond Measures,Environmental Protection,Transportation,,,
"
 Land Title Law",General,1914,Initiative,Pass (Yes votes: 61.5%),61.50%,Land Use/Property Rights,,,,,
"
 Minimum Wage Increase. Initiative Statute.",General,1996,Initiative,Pass (Yes votes: 61.5%),61.50%,Labor & Employment,,,,,
"
 Limit on Marriages. Initiative Statute.",Primary,2000,Initiative,Pass (Yes votes: 61.4%),61.40%,Civil & Constitutional Law,,,,,
"
 Open Presidential Primary",Primary,1972,Legislative Referendum,Pass (Yes votes: 61.4%),61.40%,Elections,,,,,
"
 Recall of Public Officers",General,1974,Legislative Referendum,Pass (Yes votes: 61.4%),61.40%,Elections,,,,,
"
 Taxation of Public Property",General,1914,Legislative Referendum,Pass (Yes votes: 61.4%),61.40%,Local Government,Natural Resources,State Government,Tax & Revenue,,
"
 Campaign Contributions and Spending Limits. Restricts Lobbyists. Initiative Statute.",General,1996,Initiative,Pass (Yes votes: 61.3%),61.30%,Ethics/Lobbying/Campaign Finance,,,,,
"
 City Charters2",General,1932,Legislative Referendum,Pass (Yes votes: 61.3%),61.30%,Local Government,,,,,
"
 Courts1",General,1928,Legislative Referendum,Pass (Yes votes: 61.3%),61.30%,Judiciary,,,,,
"
 Redistricting of Congressional Districts. Initiative Constitutional Amendment.",General,2010,Initiative,Pass (Yes votes: 61.3%),61.30%,Redistricting,,,,,
"
 1988 School Facilities Bond Act",General,1988,Legislative Referendum,Pass (Yes votes: 61.2%),61.20%,Bond Measures,Education: PreK-12,,,,
"
 Appointment of Regents, University of California",Primary,1972,Legislative Referendum,Pass (Yes votes: 61.2%),61.20%,Education: Higher Ed,State Government,,,,
"
 Legislative Procedure",General,1966,Legislative Referendum,Pass (Yes votes: 61.2%),61.20%,Legislatures,,,,,
"
 County Superintendents of Schools1",General,1946,Legislative Referendum,Pass (Yes votes: 61.1%),61.10%,Education: PreK-12,Local Government,,,,
"
 Justice Courts. Legislative Constitutional Amendment.",General,1994,Legislative Referendum,Pass (Yes votes: 61.1%),61.10%,Judiciary,,,,,
"
 New Prison Construction Bond Act Of 1988",General,1988,Legislative Referendum,Pass (Yes votes: 61.1%),61.10%,Bond Measures,Criminal Justice,Juvenile Justice,,,
"
 Campaign Contributions and Spending. Limits. Disclosure. Legislative Initiative Amendment.",General,2000,Legislative Referendum,Pass (Yes votes: 61%),61%,Ethics/Lobbying/Campaign Finance,,,,,
"
 Drugs. Probation and Treatment Program. Initiative Statute.",General,2000,Initiative,Pass (Yes votes: 61%),61%,Criminal Justice,Drug/Alcohol/Tobacco Policy,,,,
"
 Limits on Legislators' Terms in Office",Primary,2012,Initiative,Pass (Yes votes: 61.0%),61.00%,Legislatures,Term Limits,,,,
"
 Railroad Train Crews",General,1964,Initiative,Pass (Yes votes: 61.0%),61.00%,Labor & Employment,Transportation,,,,
"
 English Language in Public Schools. Initiative Statute.",Primary,1998,Initiative,Pass (Yes votes: 60.9%),60.90%,Civil & Constitutional Law,Education: PreK-12,,,,
"
 Huntington Library and Art Gallery",General,1930,Legislative Referendum,Pass (Yes votes: 60.9%),60.90%,Arts & Culture,Tax & Revenue,,,,
"
 Legislative Reorganization",General,1972,Legislative Referendum,Pass (Yes votes: 60.9%),60.90%,Legislatures,,,,,
"
 Sheriffs",Primary,1978,Legislative Referendum,Pass (Yes votes: 60.8%),60.80%,Local Government,,,,,
"
 Veterans' Welfare Bond Act of 1933",General,1934,Legislative Referendum,Pass (Yes votes: 60.8%),60.80%,Bond Measures,Military & Veterans Affairs,,,,
"
 Greene-Hughes School Building Lease-Purchase Bond Law of 1986",General,1986,Legislative Referendum,Pass (Yes votes: 60.7%),60.70%,Bond Measures,Education: PreK-12,,,,
"
 Klamath River Fish and Game District",General,1924,Initiative,Pass (Yes votes: 60.7%),60.70%,Natural Resources,,,,,
"
 Legislative Control of Irrigation, Reclamation and Drainage Districts",General,1914,Legislative Referendum,Pass (Yes votes: 60.7%),60.70%,Agriculture,Legislatures,Local Government,,,
"
 Prohibits the State from Taking Funds Used for Transportation or Local Government Projects and Services. Initiative Constitutional Amendment.",General,2010,Initiative,Pass (Yes votes: 60.7%),60.70%,Budgets,Local Government,State Government,Tax & Revenue,Transportation,
"
 State School Building Lease-Purchase Bond Law of 1984",General,1984,Legislative Referendum,Pass (Yes votes: 60.7%),60.70%,Bond Measures,Education: PreK-12,,,,
"
 Terms of Office",General,1960,Legislative Referendum,Pass (Yes votes: 60.7%),60.70%,Elections,State Government,,,,
"
 Salary of the Governor",General,1946,Legislative Referendum,Pass (Yes votes: 60.6%),60.60%,Labor & Employment,State Government,,,,
"
 State School Building Aid Bond Law of 1966",Primary,1966,Legislative Referendum,Pass (Yes votes: 60.6%),60.60%,Bond Measures,Education: PreK-12,,,,
"
 Residence of Local Government Employee",General,1974,Legislative Referendum,Pass (Yes votes: 60.5%),60.50%,Local Government,,,,,
"
 Highways and Mass Transit Guideways",Primary,1974,Legislative Referendum,Pass (Yes votes: 60.3%),60.30%,Transportation,,,,,
"
 Suffrage3",General,1930,Legislative Referendum,Pass (Yes votes: 60.2%),60.20%,Civil & Constitutional Law,Elections,,,,
"
 State School Building Aid and Earthquake Reconstruction and Replacement Bond Law",General,1974,Legislative Referendum,Pass (Yes votes: 60.1%),60.10%,Bond Measures,Education: PreK-12,,,,
"
 Bonds to Provide Health Science Facilities",General,1972,Legislative Referendum,Pass (Yes votes: 60.0%),60.00%,Bond Measures,Health,,,,
"
 Exempting Vessels from Taxation1",General,1932,Legislative Referendum,Pass (Yes votes: 60.0%),60.00%,Tax & Revenue,Transportation,,,,
"
 Property Taxation.",Primary,1986,Legislative Referendum,Pass (Yes votes: 59.9%),59.90%,Tax & Revenue,,,,,
"
 Recreational Lands Bond Act",Primary,1974,Legislative Referendum,Pass (Yes votes: 59.9%),59.90%,Bond Measures,Natural Resources,,,,
"
 Seismic Retrofit Bond Act of 1996",Primary,1996,Legislative Referendum,Pass (Yes votes: 59.9%),59.90%,Bond Measures,State Government,,,,
"
 Place of Payment of Bonds and Interest",General,1914,Legislative Referendum,Pass (Yes votes: 59.7%),59.70%,Bond Measures,State Government,,,,
"
 Public Utilities Commission1",General,1946,Legislative Referendum,Pass (Yes votes: 59.7%),59.70%,Energy & Electric Utilities,State Government,,,,
"
 Allowing Legislature to Enact Permanent Daylight Saving Time If Allowed by Federal Law Measure",General,2018,Legislative Referendum,Pass (Yes votes: 59.6%),59.60%,Business & Commerce,Legislatures,,,,
"
 Ambulance Employees to Receive Paid On-Call Breaks and Additional Training Initiative",General,2018,Initiative,Pass (Yes votes: 59.6%),59.60%,Health,Human Services,,,,
"
 Personal Property Taxes",General,1924,Legislative Referendum,Pass (Yes votes: 59.6%),59.60%,Tax & Revenue,,,,,
"
 Public Retirement Funds1",General,1966,Legislative Referendum,Pass (Yes votes: 59.6%),59.60%,Labor & Employment,Local Government,State Government,,,
"
 Chiropractic1",General,1922,Initiative,Pass (Yes votes: 59.5%),59.50%,Health,,,,,
"
 Corporations1",General,1930,Legislative Referendum,Pass (Yes votes: 59.5%),59.50%,Business & Commerce,,,,,
"
 Open Primary. Initiative Statute.",Primary,1996,Initiative,Pass (Yes votes: 59.5%),59.50%,Elections,,,,,
"
 Banks, Francisers, Corporations and Insurers - Taxation",Primary,1976,Legislative Referendum,Pass (Yes votes: 59.4%),59.40%,Banking & Financial Services,Business & Commerce,,,,
"
 Criminal Law. Prohibition on Slaughter of Horses and Sale of Horsemeat for Human Consumption. Initiative Statute.",General,1998,Initiative,Pass (Yes votes: 59.4%),59.40%,Animal Rights/Hunting & Fishing,Business & Commerce,Criminal Justice,,,
"
 Higher Education Facilities Bond Act Of 1986",General,1986,Legislative Referendum,Pass (Yes votes: 59.4%),59.40%,Bond Measures,Education: Higher Ed,,,,
"
 Naturalized Citizen Voting Eligibility",Primary,1972,Legislative Referendum,Pass (Yes votes: 59.4%),59.40%,Civil & Constitutional Law,Elections,,,,
"
 State School Building Aid Bond Law of 1962",Primary,1962,Legislative Referendum,Pass (Yes votes: 59.4%),59.40%,Bond Measures,Education: PreK-12,,,,
"
 Preventing Leasing of State-Owned Tide or Beach Lands for Mineral and Oil Production",Special,1932,Popular Referendum,Pass (Yes votes: 59.3%),59.30%,Natural Resources,State Government,,,,
"
 Supreme Court. Transfer of Causes and Review of Decisions of 1984",General,1984,Legislative Referendum,Pass (Yes votes: 59.3%),59.30%,Judiciary,,,,,
"
 Deposit of Public Moneys3",General,1922,Legislative Referendum,Pass (Yes votes: 59.2%),59.20%,Banking & Financial Services,State Government,,,,
"
 Stem Cell Research. Funding. Bonds. Initiative Constitutional Amendment and Statute.",General,2004,Initiative,Pass (Yes votes: 59.1%),59.10%,Bond Measures,Health,,,,
"
 California Reading and Literacy Improvement and Public Library Construction and Renovation Bond Act of 2000",Primary,2000,Legislative Referendum,Pass (Yes votes: 59.0%),59.00%,Arts & Culture,Bond Measures,Education: PreK-12,,,
